Classe demografica,Descrizione classe demografica,Provincia,Codice Istat,Denominazione,Popolazione residente al 31.12.2014,INDICE SINTETICO DI VIRTUOSITA' FINALE
4,5.000-9.999,MB,108005,Barlassina,6.956,70.62
4,5.000-9.999,MB,108029,Macherio,7.335,67.63
5,10.000-19.999,MB,108021,Concorezzo,15.633,62.55
4,5.000-9.999,MB,108017,Cavenago di Brianza,7.245,62.01
6,20.000-49.999,MB,108028,Lissone,44.870,61.88
6,20.000-49.999,MB,108024,Giussano,25.491,60.75
4,5.000-9.999,MB,108052,Caponago,5.288,58.78
6,20.000-49.999,MB,108023,Desio,41.684,58.60
3,3.000-4.999,MB,108047,Veduggio con Colzano,4.443,58.43
6,20.000-49.999,MB,108050,Vimercate,25.839,58.30
5,10.000-19.999,MB,108054,Lentate sul Seveso,15.788,57.93
4,5.000-9.999,MB,108046,Vedano al Lambro,7.535,56.95
6,20.000-49.999,MB,108039,Seregno,44.500,56.50
4,5.000-9.999,MB,108020,Cogliate,8.480,56.35
4,5.000-9.999,MB,108048,Verano Brianza,9.289,55.72
5,10.000-19.999,MB,108053,Cornate d'Adda,10.710,55.61
4,5.000-9.999,MB,108003,Albiate,6.298,55.30
6,20.000-49.999,MB,108040,Seveso,23.360,55.07
4,5.000-9.999,MB,108043,Triuggio,8.763,54.90
4,5.000-9.999,MB,108026,Lesmo,8.397,53.19
4,5.000-9.999,MB,108011,Briosco,6.010,53.06
5,10.000-19.999,MB,108007,Bernareggio,10.887,53.04
4,5.000-9.999,MB,108041,Sovico,8.381,52.39
5,10.000-19.999,MB,108001,Agrate Brianza,15.431,51.16
6,20.000-49.999,MB,108034,Muggiò,23.421,51.16
3,3.000-4.999,MB,108037,Renate,4.135,51.02
4,5.000-9.999,MB,108006,Bellusco,7.359,50.58
3,3.000-4.999,MB,108055,Roncello,4.370,48.93
5,10.000-19.999,MB,108044,Usmate Velate,10.259,48.23
3,3.000-4.999,MB,108038,Ronco Briantino,3.444,47.98
4,5.000-9.999,MB,108016,Carnate,7.348,47.25
2,1.000-2.999,MB,108002,Aicurzio,2.072,46.83
3,3.000-4.999,MB,108013,Burago di Molgora,4.269,45.67
4,5.000-9.999,MB,108025,Lazzate,7.787,43.48
5,10.000-19.999,MB,108004,Arcore,17.860,41.75
4,5.000-9.999,MB,108032,Misinto,5.454,41.72
5,10.000-19.999,MB,108045,Varedo,13.160,41.69
5,10.000-19.999,MB,108008,Besana in Brianza,15.520,41.60
3,3.000-4.999,MB,108036,Ornago,4.921,41.22
6,20.000-49.999,MB,108027,Limbiate,35.258,40.93
5,10.000-19.999,MB,108049,Villasanta,13.899,40.42
3,3.000-4.999,MB,108031,Mezzago,4.337,39.30
5,10.000-19.999,MB,108015,Carate Brianza,17.795,39.20
6,20.000-49.999,MB,108030,Meda,23.554,38.21
4,5.000-9.999,MB,108018,Ceriano Laghetto,6.528,37.41
3,3.000-4.999,MB,108042,Sulbiate,4.180,33.44
6,20.000-49.999,MB,108012,Brugherio,34.315,33.31
2,1.000-2.999,MB,108014,Camparada,2.021,30.65
4,5.000-9.999,MB,108051,Busnago,6.718,29.32
6,20.000-49.999,MB,108019,Cesano Maderno,38.203,28.28
5,10.000-19.999,MB,108009,Biassono,12.065,26.28
2,1.000-2.999,MB,108022,Correzzana,2.878,25.91
6,20.000-49.999,MB,108035,Nova Milanese,23.337,24.94
7,50.000+capoluoghi,MB,108033,Monza,122.367,21.65
5,10.000-19.999,MB,108010,Bovisio-Masciago,17.110,17.99
